status,tenant,skuCode,productCode,dataAmountCode,dataAmount,dataAmountUnit,dayAmount,dayAmountUnit,nameVn,nameEn,frameSku,datapackSku,vendorCode,larkSkuCode,larkProductCode,throttleSpeed,call,callSmsDetails,expirations,vendorSku,vendorSkuSim,latestCogs,latestCogsCurrency,originalCost,currency,referenceCostVnd,selectedActualBulkCostVnd,costBaseEsimSim,finalCogsNotIncludedVatVnd,vatForBaseSimCardsVnd,finalCogsIncludedVatVnd,finalCogsUsd,suggestedB2cPrice65MarginVnd,currencyUsd,exchangeRateUsd,suggestedB2cPrice60MarginUsd,wrGroup,dateCreated,lastModifiedDate,purchaseTypeVnView,purchaseTypeUsView
Active,VN,3CJPNWMP00130,3CJPNWMP,001,1,GB,30,DAY(S),eSIM Nhật Bản 1GB 30 Ngày,eSIM Japan 1GB 30 Days,,,WM,,,,,,,DCJPNWMP00130,,261306.88,VND,,,,,,,,,,,,,,,,,,
Active,US,DCJPNWMP00130,DCJPNWMP,001,1,GB,30,DAY(S),eSIM Nhật Bản 1GB 30 Ngày,eSIM Japan 1GB 30 Days,,,WM,,,128 kbps,No,,30,WM-e-JP-SB-1GB-30D,,9.91,USD,,,,,,,,,,,,,,,,,,
Temporary,VN,1ECNMCTF00705,1ECNMCTF,007,7,GB,5,DAY(S),"SIM China, Macao 07GB 05 Ngày","SIM China, Macao 07GB 05 Day(s)",1DCNMCTF00705,1ACNMCTF00705,CT,CNMCT07GBFY05D,,128 kbps,No,,,,,82318,VND,,,,,,,,,,,,,,,,,,
Temporary,VN,1ACNMCTF00705,1ACNMCTF,007,7,GB,5,DAY(S),"SIM China, Macao 07GB 05 Ngày","SIM China, Macao 07GB 05 Day(s)",,,CT,,,,,,,,,68874,VND,,,,,,,,,,,,,,,,,,
Temporary,VN,1DCNMCTF00705,1DCNMCTF,007,7,GB,5,DAY(S),"SIM China, Macao 07GB 05 Ngày","SIM China, Macao 07GB 05 Day(s)",,,CT,,,,,,,,,13444.4,VND,,,,,,,,,,,,,,,,,,
Active,VN,3ASGP3DF03030,3ASGP3DF,030,30,GB,30,DAY(S),SIM Singapore 30GB 30 Ngày,SIM Singapore 30GB 30 Day(s),,,3D,,,256 kbps,No,,,CDOF00060000391,CDOF00060000391,278914,VND,,,,,,,,,,,,,,,,,,
Active,VN,2CTHATMF01507,2CTHATMF,015,15,GB,7,DAY(S),eSIM Thái Lan 15GB 7 Ngày,eSIM Thailand 15GB 7 Days,,,TM,,,15GB high speed then throttle to 1mbps,No,Go to Dtac/True Store to KYC for Call/SMS function,,,,89322,VND,0,VND,0,0,,0,,0,75126,,VND,,,,,,,
Active,VN,2CTHATMF05010,2CTHATMF,050,50,GB,10,DAY(S),eSIM Thái Lan 50GB 10 Ngày,eSIM Thailand 50GB 10 Days,,,TM,,,50GB high speed then throttle to 1mbps,No,Go to Dtac/True Store to KYC for Call/SMS function,,,,105563,VND,0,VND,0,0,,0,,0,91469,,VND,,,,,,,
Active,VN,3EW243DP00101,3EW243DP,001,1,GB,1,Day(s),SIM Á - Âu - Mỹ 24 nước 01GB 01 Ngày,SIM Asia - Europe - USA 24 countries 01GB 01 Day(s),1D0003DK00000,3AW243DP00101,3D,W243D01GBPY01D,W243DP,,,,,CDOF00060001071,,18369.2,VND,,,,,,,,,,,,,,,,,,
Temporary,VN,4EWORELY01030,4EWORELY,010,10,GB,30,Day(s),SIM Toàn Cầu  10GB 30 Ngày,SIM Global 10GB 30 Day(s),1D000ELK00000,4AWORELY01030,EL,WOREL10GBFX30D,WORELF,,,,,,,226211.8,VND,,,,,,,,,,,,,,,,,,
