wmproductId,productId,product name,region,type,cost price (NT),selling price (NT),original product name,leSIM,,,,,,,,,,,
WM-J1-e-UCM-ATT,eSIM-ATT-45UE,"AT&T North America, 20 days","USA, Canada, Mexico",eSIM,782,,"AT&T North America, 20 days",N,,,,,,,,,,,
WM-J1-e-RU-Beeline-MAX-30D,eSIM-Beeline-RU30U,"Beeline Russia, 30 Days, Unlimited data /day",Russia,eSIM,414,,"Beeline Russia, 30 Days, Unlimited data /day",N,,,,,,,,,,,
WM-e-BICS-10GB-1D,LeSIM-11200001,"BICS Europe, 1 Day, 10GB /day, 128kbps",Europe,eSIM,88,,"BICS Europe, 1 Day, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-1D,LeSIM-11140001,"BICS Europe, 1 Day, 1GB /day, 128kbps",Europe,eSIM,37,,"BICS Europe, 1 Day, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-1D,LeSIM-11150001,"BICS Europe, 1 Day, 2GB /day, 128kbps",Europe,eSIM,56,,"BICS Europe, 1 Day, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-1D,LeSIM-11160001,"BICS Europe, 1 Day, 3GB /day, 128kbps",Europe,eSIM,69,,"BICS Europe, 1 Day, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T10-10D,LeSIM-11170010,"BICS Europe, 10 Days, 10GB, 128kbps",Europe,eSIM,299,,"BICS Europe, 10 Days, 10GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-10D,LeSIM-11200010,"BICS Europe, 10 Days, 10GB /day, 128kbps",Europe,eSIM,741,,"BICS Europe, 10 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-10D,LeSIM-11140010,"BICS Europe, 10 Days, 1GB /day, 128kbps",Europe,eSIM,230,,"BICS Europe, 10 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T20-10D,LeSIM-11180010,"BICS Europe, 10 Days, 20GB, 128kbps",Europe,eSIM,571,,"BICS Europe, 10 Days, 20GB, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-10D,LeSIM-11150010,"BICS Europe, 10 Days, 2GB /day, 128kbps",Europe,eSIM,428,,"BICS Europe, 10 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-3GB-10D,LeSIM-11160010,"BICS Europe, 10 Days, 3GB /day, 128kbps",Europe,eSIM,571,,"BICS Europe, 10 Days, 3GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-T5-10D,LeSIM-11190010,"BICS Europe, 10 Days, 5GB, 128kbps",Europe,eSIM,194,,"BICS Europe, 10 Days, 5GB, 128kbps",Y,,,,,,,,,,,
WM-e-BICS-10GB-11D,LeSIM-11200011,"BICS Europe, 11 Days, 10GB /day, 128kbps",Europe,eSIM,994,,"BICS Europe, 11 Days, 10GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-1GB-11D,LeSIM-11140011,"BICS Europe, 11 Days, 1GB /day, 128kbps",Europe,eSIM,296,,"BICS Europe, 11 Days, 1GB /day, 128kbps",Y,,,,,,,,,,,
WM-e-EU-D-2GB-11D,LeSIM-11150011,"BICS Europe, 11 Days, 2GB /day, 128kbps",Europe,eSIM,582,,"BICS Europe, 11 Days, 2GB /day, 128kbps",Y,,,,,,,,,,,
